Web Description,Bruteforce,DoS,insider,phishing,ransomware,Trojan,Web
"The cover entity CE), Dr. Hal Meadows (HM) reported a breach that occurred when its electronic patient billing files were unlawfully accessed on a desktop computer in the CE’s office.  The breach affected approximately 6,000 individuals who were the CE’s  patients.  The electronic protected health information (ePHI) involved included full names, addresses, dates of birth, telephone numbers, some social security numbers, claims information, diagnosis/conditions, lab results, medications, treatment codes, and billing information.  The CE provided breach notification to HHS, affected individuals, and the media, and also provided substitute notice.  Following the breach, the CE also immediately reported the incident to the FBI.  As a result of this incident, the CE updated its policies and procedures, and contracted with a company to provide an encrypted cloud-based billing system in order to safeguard ePHI.  OCR obtained assurances that the CE implemented the corrective actions above.",0,0,1,0,0,0,0
"Between June 2, 2016 and June 7, 2016, a staff member of the covered entity (CE), Heart Center of Southern Maryland, LLP, copied patient profile information from the CE’s system and pasted it onto her computer.  The staff member inappropriately permitted a third party to access her computer and disclosed the protected health information of 1,350 individuals who were treated by a physician who was leaving his employment with the CE.  The CE provided breach notification to HHS, affected individuals, and the media. OCR obtained the CE’s Security Rule policies and procedures and confirmed that the CE provided employee training.  OCR determined that the actions were committed by a rogue employee who is no longer employed with the CE.",0,0,1,0,0,0,0
"Tallahassee Memorial HealthCare, Inc., the covered entity (CE), discovered that an employee attempted to upload protected health information (PHI) containing patients' names, insurance numbers, payor financial information numbers, and account numbers to an unauthorized website.  The breach affected 505 individuals.  The CE sent timely breach notification to HHS and to affected individuals and provided free credit monitoring to affected individuals.  In response to the breach, the CE sanctioned the responsible employee, flagged patient accounts in its internal billing system, revised its website filter to block additional web sites, and updated its employee training.  OCR obtained assurances from the CE that it implemented the corrective actions listed above.  ",0,0,1,0,0,0,0
"A business associate (BA), Avatar Solutions, e-mailed satisfaction surveys for patients who visited Memorial Medical Group, a provider affiliate of the covered entity (CE), Comanche County Hospital Authority, to incorrect e-mail addresses.  The surveys contained patients’ and providers’ names and affected 2,199 individuals. In response to the incident, the BA updated its Security Management Plan, implemented new technical safeguards, applied policy changes to mitigate harm, and implemented training to prevent further incidents. In response to OCR’s investigation, the CE provided evidence it provided breach notification to the media and affected individuals and offered affected individuals a year of free credit monitoring and identity theft protection.  ",0,0,1,0,0,0,0
"The covered entity (CE), Veterans Health Administration, discovered that its public facing telehealth website administered by one of its business associates (BA), AuthentiDate Holding Corporation, potentially impermissibly disclosed the protected health information (PHI) of 7,054 individuals.  The types of PHI potentially involved in the breach included names, addresses, birthdates, phone numbers, and VA patient identification numbers of veterans who used the telehealth system.  The CE provided breach notification to individuals, HHS, and the media, and also provided credit monitoring to the affected individuals.  OCR verified that the CE had a proper BA agreement in place that restricted the BA’s use and disclosure of PHI and required the BA to safeguard all PHI.  Upon discovery of the breach, the CE took steps to enforce the requirements of its BA agreement and determined not to renew the agreement with the identified BA.  The CE reported that they are no longer doing business with the identified BA.  OCR opened a separate case to review the BA’s compliance with the HIPAA Security Rule. ",0,0,1,0,0,0,0
"On June 10, 2014, 24 ON Physicians, the covered entity (CE), discovered that its business associate (BA), PST Services, hired an off-shore subcontractor GeBBS, which repurposed a computer server containing the protected health information (PHI) of 10,104 of the CE’s patients.  The re-use of server made the PHI potentially available over the Internet from December 1, 2013, to April 17, 2014.  The PHI included patients' names, invoice numbers, procedure codes, charge amounts, balances due, policy numbers, billing-related status comments, and dates of service. In response to this breach, the CE ensured that the server was taken off-line and the PHI was destroyed.  The subcontractor submitted documentation stating that all of the breached PHI was destroyed.  The CE informed OCR that it no longer works with the subcontractor.  The CE provided breach notification to HHS, affected individuals and the media.  It also provided affected individuals with one year of free credit monitoring.  The CE initiated a plan to work with its BAs to strengthen security protocols to prevent this type of breach from occurring in the future. OCR obtained assurances that the CE and BA implemented the corrective actions listed above..",0,0,1,0,0,0,0
"On December 1, 2013, a subcontractor of 20 ON Physicians PC/ In Compass Health Inc., Williamson Medical Center’s former business associate (BA), unintentionally made a computer server containing protected health information (PHI) potentially available for access on the internet.  The PHI that was potentially available on the internet included the names, dates of service, charge amounts, and billing codes of 520 patients.  The CE investigated and verified that its BA and its subcontractor had taken all necessary corrective steps to mitigate the breach.  Specifically, the subject server was removed from public internet access, all data provided to the subcontractor was destroyed, and all cached pages were removed.  Additionally, the CE worked with the BA to provide breach notification to HHS, affected individuals, and the media, and also posted substitute notice on its website.  Additionally, the CE reviewed and confirmed that all of its BA agreements contain provisions addressing subcontractors and data security and conducted an in-depth review of its risk analysis.  A separate breach investigation was opened for the BA, 20 ON Physicians PC/In Compass Health Inc.  OCR reviewed the BA agreement and Breach Notification Rule policy and determined that they were sufficient.",0,0,1,0,0,0,0
"In June 2014, the covered entity (CE), D&J Optical, suspected that a former independently contracted optometrist had created credentials for herself and accessed electronic protected health information (ePHI) without authorization.  This inappropriate access would have exposed the demographic and clinical information of 1,100 individuals.  The CE filed a breach report with HHS and met the requirements of the Breach Notification Rule.  In response to this suspected incident, the CE increased security for access to its server and software, eliminated wireless internet capabilities in its office, and strengthened procedures for password access.  OCR reviewed evidence of the subsequent investigation by a computer forensic expert which revealed that no inappropriate access had occurred and no ePHI was disclosed.   ",0,0,1,0,0,0,0
"NRAD Medical Associates, the covered entity (CE), reported that an employee impermissibly downloaded 96,998 patients’ protected health information (PHI) onto a desktop computer and a personal external hard drive. The PHI included patients’  names, addresses, dates of birth, dates of service, social security numbers, procedure and diagnosis codes.  The CE provided breach notification to HHS, affected individuals, and the media.  During OCR’s investigation, the CE sanctioned a physician and  filed for Chapter 11 bankruptcy.  The CE transferred all of its assets to another imaging group and hospital.  Ultimately, the CE ceased its operations and thus was no longer covered by the HIPAA Rules.",0,0,1,0,0,0,0
"On January 10, 2014, a business associate (BA), PracMan, Inc., of two covered entities (CE), Monarch Women’s Health (Monarch) and Punuru J.M. Reddy, M.D., Inc. (Dr. Reddy), impermissibly disclosed the protected health information (PHI) of the CEs’ patients when the BA’s technology subcontractor, MASHNet, copied and stored computer files in error on an unsecured server.  The PHI included demographic, clinical, and financial information, including names, account numbers, insurance providers, procedures, diagnoses, social security numbers (SSN), and account balances affecting approximately 1,179 of Dr. Reddy’s patients and approximately 1,145 of Monarch’s patients.  The BA provided breach notification to HHS, affected individuals, and the media.  It also established a toll-free number and website dedicated to providing information regarding the breach, and offered one year of free credit monitoring to individuals whose SSN was potentially exposed online.  In response to the breach, the BA engaged a third party to perform a risk analysis of its operations and updated its privacy and security policies.  The BA ensured that the data was removed from the unsecured server and all cached copies of links to the PHI were removed.  OCR obtained assurances that the BA implemented the corrective actions listed above.  Additionally, the BA terminated its relationship with the subcontractor and restructured its corporate network.  ",0,0,1,0,0,0,0
"An unauthorized person evaded the network security of Ferris State University Michigan College of Optometry on December 1, 2011, and placed a malware program on the computer Ferris uses to operate its website, which had the technical ability to access its electronic files on certain network servers.  The breach of electronic protected health information (ePHI) affected approximately 3,947 individuals and included patients' names, dates of birth, Social Security numbers, addresses, diagnoses/conditions, financial claims information, clinical information, and other treatment information.  The covered entity (CE) provided breach notification to HHS, affected individuals, and the media and posted substitute notification of the breach incident on its website.  The CE created a dedicated call center regarding the breach and also offered one year of free credit monitoring to individuals whose social security number was involved in the breach.  Following the breach, the CE engaged an outside forensic security firm to conduct an internal investigation, installed the latest operating systems and patches to its network asset and web server, and applyed the latest version of antivirus and malware on its servers.  The CE verified the removal of ePHI from the application and archive files, worked with its customers to remove sensitive data, and blocked specific internet addresses from its networks.  The CE also revised its policies and procedures addressing how it administratively, technically, and physically safeguards patients’ PHI.  Additionally, the CE trained employees on its policies and procedures and documented its most recent risk analysis and corresponding risk management plan.  OCR obtained documentation evidencing that the CE implemented the corrective actions listed.   ",0,0,1,0,0,0,0
"On August 8, 2013, the covered entity (CE), CaroMont Medical Group, performed an internal audit that found an unencrypted email was sent by an employee on August 5, 2013. The employee emailed a spreadsheet to her personal email containing the following protected health information (PHI) for 1,310 individuals: patients’ names, dates of birth, medical record numbers, insurance providers, insurance numbers, diagnoses, and two Medicaid/Medicare numbers.  The CE provided breach notification to HHS, affected individuals, and the media.  In response to this incident, the CE reviewed its policies, updated its secure email policy, and required employees to attest to reviewing the new policy.  The CE trained staff on data privacy and information security, and it implemented security controls for the encryption of all external emails containing an attachment.  OCR obtained assurances that the CE implemented the corrective actions noted above.",0,0,1,0,0,0,0
"An employee impermissibly disclosed approximately 921 patients’ protected health information (PHI) when the employee sent an email message to patients and failed to place the patients’ email addresses in the blind carbon copy area of the email.  The only type of PHI involved in the breach was email addresses.  The CE provided breach notification to HHS, affected individuals, and the media.  The covered entity (CE), Summit Community Care Clinic, Inc. had a policy and procedure in place addressing security issues regarding email.  In response to the incident the CE re-trained its staff on its policy and procedure, and individually counseled the responsible employee.  OCR provided technical assistance regarding the CE’s obligations under the Security and Breach Notification Rules and obtained assurances that the CE implemented the corrective actions listed above. ",0,0,1,0,0,0,0
"Between October and November of 2011, employees of San Jose Medical Supply, Inc. (SJMS) impermissibly disclosed information regarding 800 SJMS patients. The information contained on Excel spreadsheets and prescriptions contained full names, addresses, zip codes, medical conditions, diagnoses, license numbers, physicians’ contact information, and dates prescriptions were obtained. SJMS initiated a forensics security investigation, identified the perpetrators of the breach, determined the recipients of the information, trained employees on HIPAA regulations and patient information security procedures, and filed a lawsuit against Front Medical Supply and the individual perpetrators. SJMS provided breach notification to the California Attorney General, the Secretary of HHS, the affected individuals, and the media. SJMS enhanced computer security protection and protocols to ensure that patient information is protected from unauthorized access, sanctioned responsible workforce members, and updated policies and procedures. OCR determined that SJMS is not a covered entity.",0,0,1,0,0,0,0
"Family Health Network, a business associate (BA) for the covered entity (CE), Illinois Department of Healthcare and Family Services, mailed member identification cards to the wrong addresses due to a computer program error.  The breach affected the protected health information of approximately 3,133 individuals and included names, dates of birth, and State-issued Medicaid numbers.  Following the breach, the BA corrected the case number conversion process and manually reviewed the imported data.  The CE and the BA reviewed their respective privacy policies and procedures and reminded all workforce members of those policies.  The BA provided breach notification to HHS, the CE, affected individuals, and the media.  OCR obtained documented assurances that the CE implemented the corrective actions steps noted above.    ",0,0,1,0,0,0,0
"Paragon Health, the covered entity (CE), reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 685 individuals.  The ePHI involved included names, dates of birth, clinical information, and Social Security numbers.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional technical safeguards and retrained its staff on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the aforementioned corrective actions.",0,0,0,1,0,0,0
"Stark Summit Ambulance, the covered entity (CE), reported that several employees were the victims of an email phishing scheme that affected the electronic protected health information (ePHI) of 3,700 individuals.  The ePHI involved included names, addresses, birthdates, drivers’ license numbers, Social Security numbers, financial information, diagnoses, medications prescribed, and other treatment information.  Shortly after the CE reported this breach incident, OCR confirmed that it had ceased operations. As a result, OCR closed its investigation.",0,0,0,1,0,0,0
"UCare Minnesota, the covered entity (CE), reported that numerous employees were the victims of an email phishing scheme that affected the electronic protected health information (ePHI) of 4,806 individuals.  The ePHI involved included names, addresses, birthdates, claims and financial information, medications prescribed, diagnoses, and other treatment information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional administrative and technical safeguards to better protect its sensitive data.  The CE also implemented a fraud claims review process for impacted members to monitor individuals’ claims for potential inappropriate billing.  During the investigation, OCR provided technical assistance to the CE regarding its Security Rule and Breach Notification Rule policies and procedures. ",0,0,0,1,0,0,0
"The covered entity (CE), HealthFirst Bluegrass, reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 971 individuals.  The ePHI involved included names, addresses, dates of birth, drivers’ license numbers, Social Security numbers, claims information, financial information, diagnoses, lab results, medications prescribed, and other treatment information.  The CE notified HHS, affected individuals, the media, and posted substitute notice on its website.  The CE also offered complimentary credit monitoring services to all affected individuals.  In its mitigation efforts, the CE sanctioned the responsible employee and implemented additional administrative and technical safeguards.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"The covered entity (CE), Hamilton Health Center, Inc., reported that an employee was the victim of an email phishing attack that affected the electronic protected health information (ePHI) of 10,393 individuals.  The ePHI involved included names, health insurance information, dates of birth, diagnoses, lab results, medications prescribed, and other treatment information.  The CE notified HHS, affected individuals, and the media. In response to the breach, the CE implemented additional administrative and technical safeguards and provided additional training on the proper methods of recognizing and responding to fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"Aetna ACE, the covered entity (CE), reported that employees of its business associate were the victims of an email phishing scheme that affected the electronic protected health information (ePHI) of 1,084 individuals.  The ePHI involved included names, addresses, telephone numbers, diagnoses, health insurance information, and treatment information.  Aetna notified OCR and affected individuals.",0,0,0,1,0,0,0
"The covered entity (CE), Kentuckiana Regional Planning and Development Agency, reported that several employees were the victims of an email phishing scheme involving the electronic protected health information (ePHI) of 3,663 individuals.  The ePHI involved included names, dates of birth, Social Security numbers, physical addresses, drivers’ license numbers, diagnoses, health insurance information, and claims and financial information.  The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional administrative, technical, and security safeguards to better protect its sensitive data.  In addition, all workforce members were retrained on the HIPAA Privacy and Security Rules.",0,0,0,1,0,0,0
"Mille Lacs Health System (MLHS), the covered entity (CE), reported that several employees were the victims of an email phishing scheme that affected the protected health information (PHI) of 10,630 individuals.  The PHI involved included names, addresses, Social Security numbers, and clinical information.  The CE notified HHS, affected individuals, the media, and posted substitute notice on its website.  The CE provided complimentary credit monitoring and identity theft restoration services to affected individuals.  In its mitigation efforts, MLHS implemented additional administrative and technical safeguards to better protect its PHI.  All employees were retrained on the proper methods of identifying fraudulent email communications.",0,0,0,1,0,0,0
"District Medical Group, the covered entity (CE), reported that several employees were the victims of an email phishing scheme that affected the electronic protected health information (ePHI) of 10,190 individuals.  The ePHI involved included names, Social Security numbers, medical records numbers, health insurance information, and limited clinical information.  The CE notified HHS, affected individuals, the media, and offered complimentary credit monitoring services to all affected individuals.  In its mitigation efforts, the CE retrained its workforce on the proper methods of identifying and responding to fraudulent email communications.  The CE also implemented additional technical and security safeguards.",0,0,0,1,0,0,0
"The covered entity (CE), Rehabilitation Hospital of Southern New Mexico, reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 1,843 individuals. The ePHI involved included names, dates of birth, Social Security numbers, diagnoses, lab results, medications prescribed, and health insurance information. The CE notified HHS, affected individuals, the media, and provided substitute notice. The CE also provided complimentary credit monitoring services to affected individuals.  In response to the breach, the CE implemented additional administrative, technical, and security safeguards.  The CE also retrained its staff on recognizing and responding to fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"The covered entity (CE), EVERSANA, reported that several employees were the victims of an email phishing scheme that affected the electronic protected health information (ePHI) of 29,631 individuals.  The ePHI involved included names, addresses, birthdates, drivers’ license information, Social Security numbers, treatment information, financial information, claims data, diagnoses/conditions, and medications prescribed.  The CE notified HHS, affected individuals, the media, and provided complimentary credit monitoring services. Substitute notice was also provided.   In its mitigation efforts, the CE implemented additional administrative and technical safeguards and retrained its staff on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"Healthcare Resource Group, Inc., the business associate (BA), reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 5,387 individuals. The ePHI involved included names, dates of birth, addresses, Social Security numbers, drivers’ license numbers, financial information, diagnoses, medications prescribed, and other treatment information. The BA notified HHS, affected individuals, and the media.  As a result of OCR’s investigation, the BA implemented additional technical and security safeguards and retrained its staff.  OCR received assurances that the BA implemented the corrective actions noted.",0,0,0,1,0,0,0
"Doctors HealthCare Plans, the covered entity (CE), reported that an employee was the victim of an email phishing scheme involving the electronic protected health information (ePHI) of 9,766 individuals.  The ePHI involved included names and health insurance information.   In response to the breach, the CE sanctioned  the employee involved, retrained its staff, and implemented new technical safeguards to better protect its sensitive data.  The CE notified HHS, affected individuals, the media, and posted substitute notice on its website.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"Golden Valley Health Centers, the covered entity, (CE), reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 38,268 individuals.  The ePHI involved included names, claims information, health insurance information, and other treatment information. The CE notified HHS, affected individuals, and the media. In its mitigation efforts, the CE implemented additional administrative and technical safeguards and retrained its staff on recognizing and responding to fraudulent email communications.  During the investigation, OCR provided the CE with technical assistance.",0,0,0,1,0,0,0
"The covered entity (CE), Lifesprk, reported that two of its employees were victims of an email phishing scheme that affected that protected health information (PHI) of 9,000 individuals.  The PHI involved included names, medical record numbers, Social Security numbers, health insurance information, financial information, diagnoses/conditions, and other treatment information.  The CE notified HHS, affected individuals, the media, and established a dedicated call center for questions or concerns.  The CE also offered complimentary credit monitoring and identity theft protection services.  In its mitigation efforts, the CE sanctioned the responsible employees, implemented additional administrative, technical, and security safeguards, and retrained its staff on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"The covered entity (CE), Engage Behavioral Health, reported that multiple employees were the victims of an email phishing attack that affected the electronic protected health information (ePHI) of 650 individuals. The ePHI involved included names, dates of birth, addresses, Social Security numbers, health insurance information, medical information and financial information. The CE notified HHS, affected individuals, the media, and provided complimentary identity and credit monitoring services to all affected individuals.  In response to the breach, the CE provided training to its staff on the proper methods of recognizing and responding to fraudulent email communications.  In its mitigation efforts, the CE implemented additional technical safeguards to better protect its ePHI.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"The covered entity (CE), Rainbow Hospice Care, Inc., reported that an employee was the victim of an email phishing attack that affected the electronic protected health information (ePHI) of 2,029 individuals.  The ePHI involved included names, dates of birth, mailing addresses, email addresses, Social Security numbers, and medications prescribed.  The CE notified HHS, affected individuals, the media, and provided substitute notice.  The CE also provided complimentary credit monitoring services to affected individuals. In response to the breach, the CE implemented additional administrative, technical, and security safeguards to better protect its ePHI.  The CE also retrained its employees on recognizing and responding to fraudulent email communications. OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"NCH National Healthcare System, the covered entity (CE), reported that it was the victim of an email phishing scheme affecting the electronic protected health information (ePHI) of 63,581 individuals.  The ePHI involved included names, birthdates, addresses, drivers’ license information, Social Security numbers, diagnoses, and financial information.  The CE notified HHS, affected individuals, the media, and posted substitute notice on its website.  In its mitigation efforts, the CE implemented additional technical safeguards to better protect its sensitive data.  It also retrained its staff on the proper methods of identifying fraudulent email communications.  During the investigation, OCR provided technical assistance to the CE regarding the Breach Notification Rule.  OCR obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"The covered entity (CE), Aveanna Healthcare, reported that several of its employees were the victims of an email phishing attack that affected the electronic protected health information (ePHI) of 166,077 individuals.  The ePHI involved included names, dates of birth, drivers’ license numbers, addresses, telephone numbers, Social Security numbers, clinical information, financial information, and health insurance information. The CE notified HHS, affected individuals, and the media.  In response to the breach, the CE implemented additional technical safeguards and retrained its staff on the proper methods of recognizing and responding to fraudulent email communications.  OCR provided technical assistance to the CE regarding the Breach Notification Rule and obtained assurances that the CE implemented the corrective actions noted.",0,0,0,1,0,0,0
"James F. Collette, DDS & David N. Hamilton, DDS, PLLC, the covered entity (CE), reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 544 individuals.  The ePHI involved included names, dates of birth, addresses, drivers’ license information, Social Security numbers, financial information, diagnoses, lab results, medications prescribed, and other treatment information.  The CE notified HHS, affected individuals, and the media.  As a result of OCR’s investigation, the CE revised its HIPAA security procedures, and implemented additional technical safeguards to better protect its ePHI.",0,0,0,1,0,0,0
"Peregrine Corporation dba PSL Services, reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 2,401 individuals.  The PHI involved included names, dates of birth, addresses, drivers’ license numbers, clinical information, financial information, and Social Security numbers. The CE notified HHS, affected individuals, the media, and provided complimentary identity theft and restoration services.  Following the breach, the CE implemented additional technical safeguards.  As a result of OCR’s investigation, PSL provided updated copies of policies and procedures regarding breach notification, risk assessment, use and disclosures of PHI, and safeguarding PHI.

",0,0,0,1,0,0,0
"The covered entity (CE), Audiology Services Company USA, reported that an employee was the victim of an email phishing scheme that affected the electronic protected health information (ePHI) of 3,917 individuals.  The ePHI involved included names, addresses, dates of birth, gender, telephone numbers, health insurance information, clinical information, and Social Security numbers. The CE notified HHS, affected individuals, and the media.  In its mitigation efforts, the CE implemented additional technical safeguards and retrained its staff on the proper methods of identifying fraudulent email communications.  OCR obtained assurances that the CE implemented the corrective actions noted.

",0,0,0,1,0,0,0
